,BE,DE_ME,DE_NW,DE4-S,DE4-W,DK_W,DK_E,EE,FIN,FR_R,LT,LV,NL_R,NO1,NO2,NO3,NO4,NO5,PL,SE1,SE2,SE3,SE4,UK
1/1/2012 0:00,37.98,34.818,35.086,21.36983333,35.744,30.124,35.195,34.31725,37.235,30.58666667,15.17916667,0,38.277,36.162,7.068411,35.204,33.166,32.95443967,33.675,33.375,34.376,35.481,35.413,36.056
1/1/2012 1:00,37.98,34.818,35.086,0,35.744,30.124,35.195,37.437,37.235,30.58666667,0,0,38.277,36.162,1.081276,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.413,36.056
1/1/2012 2:00,37.98,34.818,35.086,0,35.744,30.124,35.195,37.437,37.235,27.528,0,0,38.277,36.162,1.081276,35.204,33.166,35.852,33.675,33.375,18.4965,35.481,35.413,36.056
1/1/2012 3:00,37.98,34.818,35.086,0,35.744,30.124,35.195,37.437,37.235,24.46933333,24.28666667,0,38.277,36.162,1.081276,35.204,33.166,35.852,33.675,33.375,7.154,35.481,35.413,36.056
1/1/2012 4:00,37.98,34.818,35.086,0,35.744,30.124,35.195,31.1975,37.235,30.58666667,15.17916667,6.1495,38.277,36.162,1.081276,35.204,33.166,35.852,33.675,33.375,25.302,35.481,35.413,36.056
1/1/2012 5:00,37.98,34.818,35.086,0,35.744,30.124,35.195,37.437,37.659,27.528,0,6.1495,38.277,36.162,1.081276,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.413,36.056
1/1/2012 6:00,37.98,34.818,35.086,0,35.744,30.408,35.296,28.07775,37.659,33.64533333,24.28666667,12.299,38.277,15.0675,1.081276,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.515,36.056
1/1/2012 7:00,37.259,34.818,35.086,0,35.744,30.58,31.69774461,37.437,37.747,21.41066667,36.43,15.37375,36.761,0,1.081276,35.204,33.166,35.852,33.675,33.453,34.456,35.564,35.668,36.537
1/1/2012 8:00,3.05075,34.818,34.938,0,35.593,30.861,31.58524461,31.1975,3.13825,29.98166667,18.215,12.299,36.119,15.0675,0.180212667,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.517,36.382
1/1/2012 9:00,0,34.818,34.848,15.16083333,35.502,28.628,35.208,34.31725,0,26.95425,0,18.4485,36.026,36.162,0,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.426,36.056
