,BE,DE_ME,DE_NW,DE4-S,DE4-W,DK_W,DK_E,EE,FIN,FR_R,LT,LV,NL_R,NO1,NO2,NO3,NO4,NO5,PL,SE1,SE2,SE3,SE4,UK
1/1/2012 0:00,37.98,37.53809194,210.4116147,36.634,35.744,210.4116147,210.4116147,37.437,37.235,36.704,36.43,36.897,38.55821346,36.162,35.56,35.204,33.166,35.852,36.96659194,33.375,34.376,35.481,35.413,36.056
1/1/2012 1:00,37.98,36.3686362,182.2583232,36.634,40.11716439,210.4116147,210.4116147,37.437,37.235,36.704,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,34.22359866,33.375,34.376,35.481,35.413,36.056
1/1/2012 2:00,37.98,35.91528754,182.4489134,36.634,40.25036559,210.4116147,40.63408528,37.437,37.235,36.704,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.413,36.056
1/1/2012 3:00,37.98,36.8206818,196.4227524,36.634,40.25036559,210.4116147,36.65073467,37.437,37.235,36.704,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.413,36.056
1/1/2012 4:00,37.98,35.27134866,196.2321621,36.634,38.67602439,45.14796789,153.0262585,37.437,37.235,36.704,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,33.675,33.375,34.376,35.481,35.413,36.056
1/1/2012 5:00,37.98,40.75778636,55.39058758,36.634,38.80922558,36.80942852,210.4116147,37.437,37.659,36.704,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,33.675,33.375,34.376,35.481,137.4955252,36.056
1/1/2012 6:00,37.98,40.32929327,196.4377758,36.634,39.9839632,40.43825778,210.4116147,37.437,37.659,36.704,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,33.675,33.375,34.376,35.481,210.4116147,36.056
1/1/2012 7:00,37.259,196.4227524,210.4116147,36.634,40.25297169,42.47766129,138.1101437,37.437,37.747,36.704,36.43,36.897,38.494372,36.247,35.643,35.204,33.166,35.852,33.675,33.453,34.456,35.564,138.1831437,36.537
1/1/2012 8:00,36.609,210.4116147,210.4116147,36.479,39.45115843,41.59035696,108.8747079,37.437,37.659,35.978,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,33.675,33.375,34.376,35.481,94.40915666,36.382
1/1/2012 9:00,36.515,37.34084437,196.4377758,36.386,38.91835366,31.75883626,210.4116147,37.437,37.659,35.939,36.43,36.897,38.65195128,36.162,35.56,35.204,33.166,35.852,34.77089426,33.375,34.376,35.481,122.9188074,36.056
1/1/2012 10:00,36.447,42.35402484,210.4116147,36.554,40.25036559,126.5325249,70.52299127,37.437,37.819,35.222,36.43,36.897,38.65195128,36.316,35.711,35.354,33.166,35.876,34.36594713,33.517,34.522,35.632,153.3099542,36.056
1/1/2012 11:00,36.447,40.82995456,210.4116147,36.554,39.45115843,53.31672406,182.43389,37.437,37.315,35.222,36.43,36.897,38.65195128,36.402,35.796,35.438,33.166,35.9,33.831,33.596,34.604,35.717,108.5274228,36.233
1/1/2012 12:00,36.447,42.54526659,210.4116147,36.554,36.66131709,24.20092425,210.4116147,37.437,37.235,35.222,36.43,36.897,38.65195128,36.326,35.721,35.363,33.166,35.852,33.831,33.526,34.532,35.642,210.4116147,36.233
1/1/2012 13:00,37.229,55.77176803,210.4116147,36.634,36.197,24.158,210.4116147,37.976,37.819,35.978,36.954,37.428,38.65195128,36.818,36.205,35.655,33.493,36.31,35.81504597,33.98,34.999,36.125,210.4116147,37.151
1/1/2012 14:00,37.98,196.4227524,210.4116147,37.725,36.808,29.59718199,210.4116147,38.876,38.119,36.704,37.83,38.315,38.55370534,37.266,37.172,36.088,33.9,36.752,195.9146468,34.393,35.425,36.564,210.4116147,38.143
1/1/2012 15:00,40.879,210.4116147,210.4116147,40.735,39.8292276,31.84759866,53.65280123,39.357,38.591,39.506,39.901,39.395,40.333,39.073,39.604,37.838,35.21,38.534,167.644961,36.061,37.143,38.337,53.43096789,40.64
1/1/2012 16:00,48.235,210.4116147,210.4116147,44.568,57.39555123,195.5992302,196.3932302,43.393,42.548,46.614,43.317,42.768,47.59,41.239,41.938,38.371,35.648,40.67,210.4116147,36.377,37.469,196.2982302,196.3716468,47.952
1/1/2012 17:00,55.335,210.4116147,210.4116147,51.128,210.4116147,210.4116147,210.4116147,60.33896789,56.81163456,53.475,47.988,47.38,54.595,46.351,47.136,38.371,35.853,45.711,210.4116147,36.377,37.469,72.96693579,210.4116147,54.262
1/1/2012 18:00,55.335,210.4116147,210.4116147,53.277,210.4116147,210.4116147,210.4116147,48.329,44.346,53.475,49.665,49.036,54.595,46.612,47.401,39.74,37.132,45.969,210.4116147,37.675,38.805,47.068,210.4116147,54.262
1/1/2012 19:00,55.335,210.4116147,210.4116147,53.277,210.4116147,64.60693579,210.4116147,47.669,44.346,53.475,48.987,48.367,54.595,46.189,46.971,44.729,41.793,45.552,210.4116147,42.405,43.677,47.068,210.4116147,51.983
1/1/2012 20:00,55.335,210.4116147,210.4116147,53.277,210.4116147,33.565,210.4116147,47.669,41.264,53.475,48.987,48.367,54.595,42.972,43.7,41.614,39.204,42.379,62.42713456,39.778,40.971,43.797,210.4116147,51.983
