,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price,
1/1/2012 0:00,2.803427501,6.289075507,8.109686624,8.777117749,10.33507628,163.2749487,166.8878977,170.5735363,179.0672286,181.6892832,276.7673248,0.035120875,0,0.035120875,35.171,
1/1/2012 1:00,2.791624488,6.275260646,8.09331938,8.910805796,10.4079851,166.3350179,170.3653116,174.4806645,181.7799346,184.472472,277.3744227,0.017560438,0,0.017560438,35.171,
1/1/2012 2:00,3.03680711,6.65642712,8.5477095,9.467695433,10.86499506,168.6746613,172.2646436,175.9297168,181.4956207,184.134709,278.0158794,0,0,0,35.171,
1/1/2012 3:00,3.405580901,7.233561025,9.237669973,10.43509344,11.79301663,176.7051441,179.3923662,182.1395766,185.4649149,187.9600712,278.6558875,0,0,0,35.171,
1/1/2012 4:00,3.649362705,7.54243965,9.58477394,10.86428256,12.08175953,188.3957933,190.4830278,192.6082726,195.2514133,197.96617,279.2908185,0,0,0,35.171,
1/1/2012 5:00,3.499648463,7.453852303,9.523786693,10.8313264,11.95509952,203.1703136,205.3214714,207.5157869,210.5102488,213.4960375,279.7674812,0,0,0,35.171,
1/1/2012 6:00,3.427383284,7.469408427,9.580752321,10.97438211,12.11045174,219.7833349,221.6865213,223.6254124,226.4895217,229.3875021,280.0472697,0,0,0,35.171,
1/1/2012 7:00,3.435707318,7.593747778,9.764771008,11.11137587,12.31936233,234.4285869,236.3889024,238.3847215,241.1562183,243.5131853,280.4168755,0,0,0,35.64,
1/1/2012 8:00,3.305037945,7.195797909,9.227264611,10.43038672,11.53556078,238.928469,240.8331129,242.7789852,245.6283565,247.8099972,280.8672582,0,0,0,35.489,
1/1/2012 9:00,3.21950569,7.056682196,9.061015979,10.2336608,11.34601719,237.9929194,239.6666812,241.3793158,243.8891596,245.714567,281.0325338,7.215659473,0,7.215659473,35.398,
1/1/2012 10:00,3.034384578,6.533924355,8.364099392,9.386560385,10.43440714,236.638281,238.1911566,239.7708625,242.4212156,244.1049381,281.3177409,29.74101723,0,29.74101723,35.64,
1/1/2012 11:00,3.105090228,6.639921043,8.48877471,9.440522835,10.53473954,233.1502624,234.8761027,236.6349024,239.2254941,240.8132239,281.1667173,53.14887087,0,53.14887087,35.725,
1/1/2012 12:00,3.201125357,6.745651183,8.601735216,9.548955308,10.65457103,229.3545036,230.8954477,232.4697214,234.482499,236.0589479,281.1252677,65.22899135,4.594563991,64.39384552,35.65,
1/1/2012 13:00,3.499452172,7.308295454,9.304196133,10.27151382,11.49440458,229.5018164,231.0317406,232.5964124,234.3211898,235.7251105,281.301317,63.1754299,63.92638088,53.79906361,36.239,
1/1/2012 14:00,3.533316717,7.433134651,9.475069106,10.4114267,11.62866917,229.7711012,231.3054053,232.8747216,234.6220436,235.9797313,281.165081,39.62974951,142.7086991,28.29187495,37.098,
1/1/2012 15:00,3.29074881,7.236903785,9.298405276,10.25371074,11.51820907,227.8728956,229.7555653,231.6788952,233.6731413,235.0666153,280.9777548,13.0832132,0,13.0832132,39.629,
1/1/2012 16:00,2.847207008,6.533665308,8.457998669,9.423823962,10.55353212,216.7802199,219.3235187,221.9188366,224.5590076,226.5010832,280.7644496,0,0,0,42.419,
1/1/2012 17:00,2.785737841,6.495458013,8.432592604,9.460867278,10.53098478,210.0070008,212.3607839,214.756965,217.395337,219.459989,280.6832934,0,0,0,48.663,
1/1/2012 18:00,3.13924356,6.974176658,8.978341412,10.04120271,11.15388573,206.6945131,208.7357869,210.8194842,213.091761,215.0477024,280.6083923,0,0,0,50.364,
1/1/2012 19:00,3.162181193,6.788377883,8.685557962,9.788953834,10.77002139,205.544813,207.4067446,209.3053017,211.6014384,214.0300029,281.0096163,0,0,0,50.364,
1/1/2012 20:00,2.878219244,6.272644647,8.046149429,9.1753432,10.00695669,202.9159347,204.9492337,207.0257874,209.3204472,212.0683275,281.0193958,0,0,0,50.364,
1/1/2012 21:00,2.736416068,6.069288734,7.809158848,8.902481307,9.603802739,198.7477376,200.7462149,202.7891017,204.9901249,207.8610784,280.9588875,0,0,0,50.707,
1/1/2012 22:00,2.540673479,5.754305446,7.431586499,8.517341317,9.239851971,194.0905989,196.2489933,198.4557473,200.3693288,203.7616852,280.7979309,0,0,0,50.233,
1/1/2012 23:00,2.614166224,5.892500693,7.605900774,8.659906515,9.443011896,199.5305788,201.1622035,202.8321424,204.4077801,207.3520507,280.6994174,0,0,0,41.799,
1/2/2012 0:00,2.620106805,5.816641111,7.487211491,8.504217928,9.281126803,209.3831602,210.9091641,212.4600795,214.1871676,217.1352819,280.4434123,0,0,0,32.158,
1/2/2012 1:00,2.709441728,5.942563756,7.630038048,8.639298392,9.440948073,222.3323877,223.5335568,224.7623355,226.0141622,228.5274104,280.4690702,0,0,0,32.158,
1/2/2012 2:00,2.851439262,6.185242679,7.927808638,8.940710266,9.718423281,239.4544453,240.7001311,241.9716861,243.2756643,245.2576184,280.7018037,0,0,0,32.158,
1/2/2012 3:00,2.837289582,6.098789079,7.803929243,8.713987122,9.393104121,251.2783393,252.6751263,254.1043992,256.0353303,257.9302604,280.5627007,0,0,0,32.158,
1/2/2012 4:00,2.935048265,6.271821123,8.017029366,8.898105694,9.590699568,253.7018538,255.0011088,256.3274723,257.8569496,259.5080067,280.4037069,0,0,0,32.158,
1/2/2012 5:00,2.715285263,6.090140478,7.851618111,8.776467313,9.473239475,251.2936616,252.9173984,254.5720344,255.8217232,257.2348566,279.9067524,0,0,0,32.302,
1/2/2012 6:00,2.763541222,6.347218273,8.218036584,9.233325318,9.921056571,245.4578666,247.0845937,248.7416907,249.898641,251.2595075,279.51927,0,0,0,33.697,
1/2/2012 7:00,3.07668744,6.821139194,8.779379499,9.84455461,10.55589881,244.7037064,245.8846605,247.092714,247.9449747,249.0271358,279.3797657,0,0,0,35.92,
1/2/2012 8:00,3.106911868,6.909336462,8.895695056,9.974139336,10.79367749,245.5517151,246.6827005,247.8324951,248.7663471,249.8269154,279.0925439,0,0,0,43.76,
1/2/2012 9:00,3.15954492,6.980663526,8.977271829,10.04628786,10.90766145,246.6150043,247.7655649,248.938928,249.8795411,250.8950834,279.0871616,17.74995744,0,17.74995744,35.551,
1/2/2012 10:00,3.291739479,7.037066449,8.995152027,10.084791,11.05547942,247.9112128,249.0870904,250.2849272,251.3149557,252.4331893,279.1940902,73.94382863,128.2607162,54.78862533,35.382,
1/2/2012 11:00,3.416021648,7.092988445,9.02162385,9.977021687,10.926099,246.1972842,247.3815255,248.5901285,249.7506039,250.7739824,279.5496554,108.1054525,232.9330191,65.33118608,34.745,
1/2/2012 12:00,3.654338339,7.346278687,9.289834815,10.16601551,11.11392662,245.6878122,246.5444598,247.4251862,248.2825169,248.9746882,279.6764591,136.8711448,482.8351904,48.34638349,33.888,
1/2/2012 13:00,3.582839657,7.244054715,9.17096117,9.951792464,10.94539148,242.9980642,243.7611194,244.5411982,245.1679912,245.7536431,279.7017611,120.1523607,588.8653445,32.70707893,33.888,
1/2/2012 14:00,3.647367846,7.455935028,9.457630083,10.24439346,11.30526401,239.9144409,240.6738723,241.4446209,242.0638075,242.5860595,279.1460781,71.27812726,546.7138464,26.73673457,34.174,
1/2/2012 15:00,4.177683215,8.389706232,10.60640331,11.3532526,12.60850572,240.5153242,241.0375639,241.572955,242.1101258,242.4196203,278.1084706,15.82077826,0,15.82077826,34.522,
1/2/2012 16:00,4.064399659,8.211681177,10.39220855,11.16600664,12.54653351,238.8173236,239.4758754,240.1457469,240.9366563,241.3181016,277.9023053,0,0,0,43.722,
1/2/2012 17:00,3.996990411,7.96833459,10.06304375,10.74199011,12.09484143,237.6131525,238.1305041,238.6611756,239.4974514,239.9822843,277.7192083,0,0,0,43.722,
