,WS_1,WS_50,WS_100,WS_150,WS_200,WD_1,WD_50,WD_100,WD_150,WD_200,temp_air_1,ghi,dni,dhi,Price
1/1/2012 0:00,1.7625,6.4068,8.0404,8.5348,9.6686,49.2514,160.4279,274.2178,328.466,66.7858,276.7673248,0.035120875,0,0.035120875,30.124
1/1/2012 1:00,1.408,6.0205,7.6289,8.4427,9.563,97.7915,234.6836,13.9119,135.8841,269.6125,277.3744227,0.017560438,0,0.017560438,30.124
1/1/2012 2:00,1.1875,5.8327,7.4456,8.6581,9.8157,226.7767,23.8811,184.424,307.4279,100.7511,278.0158794,0,0,0,30.124
1/1/2012 3:00,0.7905,5.7265,7.4422,8.8498,10.0009,343.8666,151.4223,322.6216,7.5886,175.0067,278.6558875,0,0,0,30.124
1/1/2012 4:00,0.8247,6.1404,7.9948,9.5266,10.6143,46.5013,200.9258,358.3746,264.7996,75.6554,279.2908185,0,0,0,30.124
1/1/2012 5:00,0.7973,6.5016,8.5023,10.0664,11.0982,281.2325,64.3109,210.4153,59.43,227.5362,279.7674812,0,0,0,30.124
1/1/2012 6:00,0.9918,6.8007,8.8544,10.4806,11.4215,244.5873,35.2979,189.3091,39.6991,229.4633,280.0472697,0,0,0,30.408
1/1/2012 7:00,1.3889,6.99,8.9329,10.6442,11.5886,355.2163,143.4516,294.368,123.4451,305.3017,280.4168755,0,0,0,30.58
1/1/2012 8:00,1.9033,7.3147,9.2103,10.897,11.865,12.3376,168.7549,328.2661,167.6552,336.793,280.8672582,0,0,0,30.861
1/1/2012 9:00,1.5624,6.7489,8.5546,10.1832,11.1395,81.0242,221.6288,5.3263,213.3103,2.5079,281.0325338,7.215659473,0,7.215659473,28.628
1/1/2012 10:00,1.3174,5.5716,6.9899,8.4137,9.2124,234.1413,0.9252,129.8407,12.8887,172.0573,281.3177409,29.74101723,0,29.74101723,26.357
1/1/2012 11:00,1.6166,6.2761,7.8394,9.2964,10.197,94.9129,208.9082,325.1049,156.9308,270.7197,281.1667173,53.14887087,0,53.14887087,24.158
1/1/2012 12:00,1.049,5.765,7.3311,8.7388,9.6483,356.3882,80.6127,166.9,324.3489,52.6985,281.1252677,65.22899135,4.594563991,64.39384552,24.158
1/1/2012 13:00,0.5225,5.4896,7.1593,8.4333,9.3601,22.3088,96.0828,171.0256,287.5651,3.5395,281.301317,63.1754299,63.92638088,53.79906361,24.158
1/1/2012 14:00,0.3433,5.6685,7.5353,8.6686,9.596,301.0406,31.4529,123.9282,223.9667,299.9411,281.165081,39.62974951,142.7086991,28.29187495,28.628
1/1/2012 15:00,0.000001,5.4725,7.4321,8.5802,9.5722,170.0615,276.6322,25.6093,140.4299,212.6223,280.9777548,13.0832132,0,13.0832132,31.083
1/1/2012 16:00,0.000001,5.0774,6.9508,8.1305,9.0931,73.7353,202.1011,333.4234,129.1526,221.9724,280.7644496,0,0,0,32.663
1/1/2012 17:00,0.000001,4.8265,6.6638,7.8927,8.7585,5.5286,154.108,305.7133,115.8819,239.9845,280.6832934,0,0,0,35.036
1/1/2012 18:00,0.0163,5.2804,7.172,8.5122,9.5172,5.9412,106.6678,209.456,343.1843,77.0348,280.6083923,0,0,0,36.234
1/1/2012 19:00,0.000001,4.7693,6.5338,7.8696,8.7764,121.3114,245.277,11.7857,162.3593,276.8355,281.0096163,0,0,0,35.446
1/1/2012 20:00,0.000001,4.3245,5.964,7.3058,8.0348,59.2247,204.0912,351.5708,165.5214,324.3446,281.0193958,0,0,0,33.565
1/1/2012 21:00,0.000001,3.548,5.1766,6.5266,7.071,334.3804,141.9361,312.4482,167.6518,351.2272,280.9588875,0,0,0,32.709
1/1/2012 22:00,0.000001,2.7398,4.3559,5.6756,6.2976,358.9257,206.2225,57.6432,306.5366,186.4915,280.7979309,0,0,0,31.392
1/1/2012 23:00,0.000001,2.1771,3.5805,4.6372,5.2199,63.3488,283.9149,148.7441,102.9538,31.725,280.6994174,0,0,0,30.124
1/2/2012 0:00,1.6909,5.2674,6.5522,7.4932,8.0365,219.8362,92.2965,329.8455,257.5842,157.4785,280.4434123,0,0,0,32.158
1/2/2012 1:00,2.2493,6.162,7.6322,8.5925,9.2036,259.8541,106.5998,317.3333,115.1258,282.2003,280.4690702,0,0,0,32.158
1/2/2012 2:00,3.3429,7.9857,9.7122,10.8703,11.5978,273.8813,34.6149,157.686,232.2852,353.2938,280.7018037,0,0,0,32.158
1/2/2012 3:00,3.9088,9.0912,10.977,12.2729,13.0529,63.699,172.4009,283.4403,11.1028,122.1413,280.5627007,0,0,0,32.158
1/2/2012 4:00,4.0075,9.4432,11.3783,12.6206,13.3555,237.7197,336.3133,76.3519,181.8904,298.7734,280.4037069,0,0,0,32.158
1/2/2012 5:00,4.0549,9.1015,10.9049,12.0596,12.7141,162.4324,270.2409,20.2479,138.5078,250.578,279.9067524,0,0,0,32.302
1/2/2012 6:00,3.8498,8.8712,10.727,11.9386,12.5723,247.3436,2.4398,119.6673,246.5204,358.935,279.51927,0,0,0,33.697
1/2/2012 7:00,4.2258,9.3818,11.2834,12.5931,13.2839,113.8914,215.6482,319.8124,62.257,166.0767,279.3797657,0,0,0,35.92
1/2/2012 8:00,4.1513,9.3048,11.2208,12.6127,13.3055,1.34,112.8601,226.6491,321.5312,60.8818,279.0925439,0,0,0,43.76
1/2/2012 9:00,3.5074,8.5189,10.3513,11.7153,12.4094,300.2151,65.419,192.6157,289.9039,35.0988,279.0871616,17.74995744,0,17.74995744,35.551
1/2/2012 10:00,3.373,8.3283,10.1009,11.3496,12.0257,267.4878,64.0438,223.8987,341.4697,92.8527,279.1940902,73.94382863,128.2607162,54.78862533,35.382
1/2/2012 11:00,3.5849,8.5855,10.3215,11.4814,12.1051,347.7255,111.1413,236.9619,344.5637,68.445,279.5496554,108.1054525,232.9330191,65.33118608,34.745
1/2/2012 12:00,3.7499,8.7743,10.5116,11.631,12.2782,201.554,291.2782,23.0672,106.2604,173.9836,279.6764591,136.8711448,482.8351904,48.34638349,33.888
1/2/2012 13:00,3.4088,8.2459,9.9448,10.9702,11.6603,97.7332,193.6474,291.6227,20.6604,81.8527,279.7017611,120.1523607,588.8653445,32.70707893,33.888
1/2/2012 14:00,3.4696,8.2696,10.0187,11.0408,11.7979,96.9769,212.9658,331.2241,78.4823,145.8618,279.1460781,71.27812726,546.7138464,26.73673457,34.174
1/2/2012 15:00,3.8683,9.0971,11.0231,12.105,13.0463,225.3413,328.8861,74.4247,177.9009,236.6864,278.1084706,15.82077826,0,15.82077826,34.522
1/2/2012 16:00,3.4717,8.8097,10.7919,11.8675,12.947,202.0327,297.9468,35.5785,123.5846,177.2137,277.9023053,0,0,0,43.722
1/2/2012 17:00,3.3075,8.5947,10.5696,11.5705,12.71,350.4757,88.176,188.2145,274.5018,322.2865,277.7192083,0,0,0,43.722
1/2/2012 18:00,3.7648,9.1685,11.1737,12.1821,13.3958,313.2104,55.517,160.0248,284.471,332.9429,277.4044623,0,0,0,40.282
1/2/2012 19:00,3.7928,9.2644,11.2592,12.1596,13.4366,239.5052,351.575,106.0521,223.6231,280.0018,277.131668,0,0,0,40.282
1/2/2012 20:00,3.213,8.575,10.537,11.4232,12.7557,196.3954,313.416,73.0495,209.5282,269.0009,277.1656653,0,0,0,35.367
1/2/2012 21:00,2.7235,8.1248,10.1065,10.9899,12.3834,181.2005,300.6964,63.4238,200.9342,259.3753,277.2313621,0,0,0,34.496
1/2/2012 22:00,2.879,8.0212,9.977,10.7829,12.1776,199.5575,7.1132,178.3125,1.8887,74.0811,277.0077256,0,0,0,33.794
1/2/2012 23:00,3.0794,8.5279,10.5649,11.4376,12.923,311.5579,112.0317,275.6687,107.4953,188.9698,277.0709612,0,0,0,32.232
1/3/2012 0:00,0.8355,6.3698,8.4308,9.3159,10.772,322.7646,117.189,274.6379,98.5569,176.5937,277.3876319,0,0,0,33.169
1/3/2012 1:00,0.7115,6.282,8.3909,9.2602,10.7351,206.2944,357.5556,151.9104,328.9542,46.303,277.3178288,0,0,0,33.169
1/3/2012 2:00,0.6282,6.3962,8.5321,9.3771,10.8263,275.255,32.2761,151.566,290.7952,354.7371,277.4998618,0,0,0,33.169
