time,SM_forecast_old,SM_forecast,SM_cleared,BM_Up_cleared,BM_Down_cleared,reg_cleared,reg_forecast_pre,reg_forecast_DNN,reg_vol_Up,reg_vol_Down,,,,,,,,,,,,,DA,Measurement,reg_cleared,,,
1/1/2022 0:00,6.09,31.74382973,50.05,50.05,50.05,50.05,78.3707,99.38556671,0,0,,1,,,"The first 15 days reg volumes are nordic reg volumes, the other days are DK1 ",,,,,,,,0.4724,0.3454,50.05,0.127,0,12.7
1/1/2022 1:00,11.17,29.73042297,41.33,41.33,41.33,41.33,68.6186,72.59272003,0,0,,1,,,,,,,,,,,0.6287,0.5279,41.33,0.1008,0,10.08
1/1/2022 2:00,19.36,37.09610748,43.22,43.22,43.22,43.22,67.3494,75.5891037,0,0,,1,,,,,,,,,,,0.6296,0.3606,43.22,0.269,0,26.9
1/1/2022 3:00,-4.16,32.02108383,45.46,45.46,45.46,45.46,74.6558,80.3571701,0,0,,1,,,,,,,,,,,0.4734,0.2912,45.46,0.1822,0,18.22
1/1/2022 4:00,9.7,32.98175812,37.67,37.67,37.67,37.67,75.1493,84.64328384,0,0,,1,,,,,,,,,,,0.3609,0.1885,37.67,0.1724,0,17.24
1/1/2022 5:00,-5.92,32.73866272,39.7,39.7,39.7,39.7,76.7601,58.70119858,0,0,,1,,,,,,,,,,,0.3872,0.1465,39.7,0.2407,0,24.07
1/1/2022 6:00,-10.77,41.65438461,40.59,40.59,40.59,40.59,89.7526,78.16418076,0,0,,1,,,,,,,,,,,0.3707,0.2334,40.59,0.1373,0,13.73
1/1/2022 7:00,2.35,39.22782135,43.26,43.26,43.26,43.26,98.6766,98.28921509,0,0,,1,,,,,,,,,,,0.3198,0.1933,43.26,0.1265,0,12.65
1/1/2022 8:00,-3.63,52.71285248,49.66,49.66,43.14,43.14,111.954,117.1153946,0,-421,,1,,,,,,,,,,,0.2908,0.12,43.14,0.1708,-6.52,17.08
1/1/2022 9:00,7.71,57.49533844,70.05,70.05,43.13,43.13,103.786,111.9122009,0,-686,,1,,,,,,,,,,,0.2448,0.0089,43.13,0.2359,-26.92,23.59
