time,Measurement,DA,HA,RT
1/1/2021 0:00,0,0,0,0
1/1/2021 0:15,0,0,0,0
1/1/2021 0:30,0,0,0,0
1/1/2021 0:45,0,0,0,0
1/1/2021 1:00,0,0,0,0
1/1/2021 1:15,0,0,0,0
1/1/2021 1:30,0,0,0,0
1/1/2021 1:45,0,0,0,0
1/1/2021 2:00,0,0,0,0
1/1/2021 2:15,0,0,0,0
1/1/2021 2:30,0,0,0,0
1/1/2021 2:45,0,0,0,0
1/1/2021 3:00,0,0,0,0
1/1/2021 3:15,0,0,0,0
1/1/2021 3:30,0,0,0,0
1/1/2021 3:45,0,0,0,0
1/1/2021 4:00,0,0,0,0
1/1/2021 4:15,0,0,0,0
1/1/2021 4:30,0,0,0,0
1/1/2021 4:45,0,0,0,0
1/1/2021 5:00,0,0,0,0
1/1/2021 5:15,0,0,0,0
1/1/2021 5:30,0,0,0,0
1/1/2021 5:45,0,0,0,0
1/1/2021 6:00,0,0,0,0
1/1/2021 6:15,0,0,0,0
1/1/2021 6:30,0,0,0,0
1/1/2021 6:45,0,0,0,0
1/1/2021 7:00,0,0,0,0
1/1/2021 7:15,0,0,0,0
1/1/2021 7:30,0,0,0,0
1/1/2021 7:45,0,0,0,0
1/1/2021 8:00,0,0,0,0
1/1/2021 8:15,0,0,0,0
1/1/2021 8:30,0.0003375,0,0,0
1/1/2021 8:45,0.0016125,0,0,0.0003375
1/1/2021 9:00,0,0,0,0.0016125
1/1/2021 9:15,0.00185,0,0,0
1/1/2021 9:30,0.00775,0,0,0.00185
1/1/2021 9:45,0.01365,0,0,0.00775
1/1/2021 10:00,0.0255875,0,0,0.01365
1/1/2021 10:15,0.0274625,0,0,0.0255875
1/1/2021 10:30,0.0293375,1.26E-05,1.26E-05,0.0274625
1/1/2021 10:45,0.0312125,3.77E-05,3.77E-05,0.0293375
1/1/2021 11:00,0.0383375,6.27E-05,6.27E-05,0.0312125
1/1/2021 11:15,0.0367125,8.80E-05,8.80E-05,0.0383375
1/1/2021 11:30,0.0350875,0.000113255,0.000113255,0.0367125
1/1/2021 11:45,0.0334625,0.00013854,0.00013854,0.0350875
1/1/2021 12:00,0.03165,0,0,0.0334625
1/1/2021 12:15,0.03015,0,0,0.03165
1/1/2021 12:30,0.02865,0.006682368,0.006682368,0.03015
1/1/2021 12:45,0.02715,0.019643602,0.019643602,0.02865
1/1/2021 13:00,0.0312,0.063889997,0.063889997,0.02715
1/1/2021 13:15,0.026,0.055994456,0.055994456,0.0312
1/1/2021 13:30,0.0208,0.048098916,0.048098916,0.026
1/1/2021 13:45,0.0156,0.040203375,0.040203375,0.0208
1/1/2021 14:00,0.0036875,0.028138721,0.028138721,0.0156
1/1/2021 14:15,0.0029625,0.02302259,0.02302259,0.0036875
1/1/2021 14:30,0.0022375,0.017906459,0.017906459,0.0029625
1/1/2021 14:45,0.0015125,0.012790328,0.012790328,0.0022375
1/1/2021 15:00,0,0,0,0.0015125
1/1/2021 15:15,0,0,0,0
1/1/2021 15:30,0,0,0,0
1/1/2021 15:45,0,0,0,0
1/1/2021 16:00,0,0,0,0
1/1/2021 16:15,0,0,0,0
1/1/2021 16:30,0,0,0,0
1/1/2021 16:45,0,0,0,0
1/1/2021 17:00,0,0,0,0
1/1/2021 17:15,0,0,0,0
1/1/2021 17:30,0,0,0,0
1/1/2021 17:45,0,0,0,0
1/1/2021 18:00,0,0,0,0
1/1/2021 18:15,0,0,0,0
1/1/2021 18:30,0,0,0,0
1/1/2021 18:45,0,0,0,0
1/1/2021 19:00,0,0,0,0
1/1/2021 19:15,0,0,0,0
1/1/2021 19:30,0,0,0,0
1/1/2021 19:45,0,0,0,0
1/1/2021 20:00,0,0,0,0
1/1/2021 20:15,0,0,0,0
1/1/2021 20:30,0,0,0,0
1/1/2021 20:45,0,0,0,0
1/1/2021 21:00,0,0,0,0
1/1/2021 21:15,0,0,0,0
1/1/2021 21:30,0,0,0,0
1/1/2021 21:45,0,0,0,0
1/1/2021 22:00,0,0,0,0
1/1/2021 22:15,0,0,0,0
1/1/2021 22:30,0,0,0,0
1/1/2021 22:45,0,0,0,0
1/1/2021 23:00,0,0,0,0
1/1/2021 23:15,0,0,0,0
1/1/2021 23:30,0,0,0,0
1/1/2021 23:45,0,0,0,0
1/2/2021 0:00,0,0,0,0
1/2/2021 0:15,0,0,0,0
1/2/2021 0:30,0,0,0,0
1/2/2021 0:45,0,0,0,0
1/2/2021 1:00,0,0,0,0
1/2/2021 1:15,0,0,0,0
1/2/2021 1:30,0,0,0,0
1/2/2021 1:45,0,0,0,0
1/2/2021 2:00,0,0,0,0
1/2/2021 2:15,0,0,0,0
1/2/2021 2:30,0,0,0,0
1/2/2021 2:45,0,0,0,0
1/2/2021 3:00,0,0,0,0
1/2/2021 3:15,0,0,0,0
1/2/2021 3:30,0,0,0,0
1/2/2021 3:45,0,0,0,0
1/2/2021 4:00,0,0,0,0
