,Alkaline electrolyzer,Unnamed: 1,PEM electrolyzer,Unnamed: 3,PEM electrolyzer simple,Unnamed: 5
0,P_ptg,Efficiency,P_ptg,Efficiency,P_ptg,Efficiency
1,0.049,0,0.049,0,0.05,0
2,0.05,0.785,0.05,0.7363,0.0501,0.7363
3,0.1,0.75,0.1,0.7276,1,0.6238
4,0.15,0.72,0.15,0.7191,1.001,0
5,0.2,0.695,0.2,0.7111,,
6,0.25,0.665,0.25,0.7034,,
7,0.3,0.645,0.3,0.6962,,
8,0.35,0.62,0.35,0.6894,,
9,0.4,0.6,0.4,0.6829,,
10,0.45,0.58,0.45,0.6768,,
11,0.5,0.56,0.5,0.6711,,
12,0.55,0.545,0.55,0.6656,,
13,0.6,0.53,0.6,0.6603,,
14,0.65,0.51,0.65,0.6553,,
15,0.7,0.495,0.7,0.6504,,
16,0.75,0.485,0.75,0.6457,,
17,0.8,0.465,0.8,0.6410,,
18,0.85,0.455,0.85,0.6365,,
19,0.9,0.445,0.9,0.6321,,
20,0.95,0.43,0.95,0.6279,,
21,1,0.42,1,0.6238,,
22,1.001,0,1.001,0.0000,,
