Hour_of_Year,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Tier_C_MW,Total_Hardware_Used_MW,Curtailment_MW
1,8.0,0.0,27.695723256351215,0.0,35.695723256351215,0.0
2,8.0,0.0,30.304276743648785,1.3388619266979802,39.643138670346765,0.0
3,8.0,0.0,29.0,5.612754667271162,42.61275466727116,0.0
4,8.0,0.0,29.0,8.380187239346554,45.380187239346554,0.0
5,8.0,0.0,29.0,7.455293248830799,44.4552932488308,0.0
6,8.0,0.0,29.0,6.529058977975453,43.52905897797545,0.0
7,8.0,0.0,29.0,18.472491521081345,55.472491521081345,0.0
8,8.0,0.0,29.0,31.79779811673285,68.79779811673285,0.0
9,8.0,0.0,29.0,35.73185449987892,72.73185449987892,0.0
10,8.0,0.0,29.0,33.65695317261127,70.65695317261127,0.0
11,8.0,0.0,29.0,21.654520960448515,58.654520960448515,0.0
12,8.0,0.0,29.0,17.97351230917785,54.97351230917785,0.0
13,8.0,0.0,29.0,19.780999152349317,56.78099915234932,0.0
14,8.0,0.0,29.0,16.052376306883573,53.05237630688357,0.0
15,8.0,0.0,29.0,13.535970327316669,50.53597032731667,0.0
16,8.0,0.0,29.0,13.898649549841174,50.898649549841174,0.0
17,8.0,0.0,29.0,15.420060554104715,52.420060554104715,0.0
18,8.0,0.0,29.0,0.0,37.0,0.0
19,8.0,0.0,28.927855968639776,0.0,36.927855968639776,0.0
20,8.0,0.0,29.072144031360224,13.85082924804368,50.922973279403905,0.0
21,8.0,0.0,29.0,5.748341135298418,42.74834113529842,0.0
22,8.0,0.0,29.0,9.878463749539613,46.87846374953961,0.0
23,8.0,0.0,29.0,9.647705894342494,46.647705894342494,0.0
24,8.0,0.0,29.0,14.675196878864817,51.67519687886482,0.0
25,8.0,0.0,29.0,2.922613921758291,39.92261392175829,0.0
26,8.0,0.0,27.67770336149502,0.0,35.67770336149502,0.0
27,8.0,0.0,30.32229663850498,7.709156113924557,46.03145275242954,0.0
28,8.0,0.0,29.0,8.487577718948287,45.48757771894829,0.0
29,8.0,0.0,29.0,4.336916106024901,41.3369161060249,0.0
30,8.0,0.0,29.0,18.536888268937815,55.536888268937815,0.0
31,8.0,0.0,29.0,19.31321599663363,56.31321599663363,0.0
32,8.0,0.0,29.0,10.48427067334557,47.48427067334557,0.0
33,8.0,0.0,29.0,12.112471532860042,49.11247153286004,0.0
34,8.0,0.0,29.0,5.191232553990247,42.19123255399025,0.0
35,8.0,0.0,29.0,9.030556819808965,46.030556819808965,0.0
36,8.0,0.0,29.0,14.786805122673684,51.786805122673684,0.0
37,8.0,0.0,29.0,23.627142393613532,60.62714239361353,0.0
38,8.0,0.0,29.0,26.23942811840275,63.23942811840275,0.0
