Total_Provisioned_MW,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
15.0,8.0,0.0,7.0,99.93150684931507,100.0,100.0,115.27513902134591,399.10130924864245,70.04784675496806,0.0,61.32,7.549037730195862,138.9168844851639,95.33075052798765,0.9911307397628704
15.0,5.0,6.0,4.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,43.8,52.56,35.04,7.160505421252236,138.56050542125223,95.32405054212522,0.9885880809164685
15.0,4.0,8.0,3.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,35.04,70.08,26.28,7.040505421252237,138.44050542125223,95.31205054212522,0.9877319165329069
15.0,3.0,10.0,2.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,26.28,87.6,17.52,6.920505421252237,138.32050542125222,95.30005054212522,0.9868757521493453
15.0,6.0,3.0,6.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,52.56,26.28,52.56,7.424505421252237,138.82450542125224,92.72245054212522,0.9904716425603042
15.0,5.0,5.0,5.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,43.8,43.8,43.8,7.3045054212522365,138.70450542125224,92.71045054212522,0.9896154781767426
15.0,4.0,7.0,4.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,35.04,61.32,35.04,7.184505421252236,138.58450542125223,92.69845054212522,0.9887593137931808
15.0,3.0,9.0,3.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,26.28,78.84,26.28,7.064505421252237,138.46450542125223,92.68645054212521,0.9879031494096192
14.0,8.0,0.0,6.0,99.93150684931507,100.0,100.0,115.27513902134591,399.1013092486426,70.04784675496806,0.0,52.56,16.141037730195865,138.7488844851639,92.68595052798764,0.9899321096258841
14.0,5.0,6.0,3.0,100.0,100.0,100.0,115.27210874504055,399.1013092486426,43.8,52.56,26.28,15.752505421252236,138.39250542125222,92.67925054212522,0.9873894507794823
15.0,2.0,11.0,2.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,17.52,96.36,17.52,6.944505421252237,138.34450542125222,92.67445054212521,0.9870469850260576
14.0,4.0,8.0,2.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,35.04,70.08,17.52,15.632505421252237,138.27250542125222,92.66725054212522,0.9865332863959206
15.0,1.0,13.0,1.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,8.76,113.88,8.76,6.824505421252237,138.22450542125225,92.66245054212521,0.986190820642496
14.0,3.0,10.0,1.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,26.28,87.6,8.76,15.512505421252238,138.15250542125224,92.65525054212522,0.9856771220123589
15.0,7.0,0.0,8.0,100.0,100.0,100.0,115.27528657131548,399.10130924864256,61.32,0.0,70.08,7.684708179696193,139.0847081796962,90.12047081796963,0.9923281120126727
15.0,6.0,2.0,7.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,52.56,17.52,61.32,7.568505421252237,138.96850542125225,90.10885054212521,0.9914990398205782
15.0,5.0,4.0,6.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,43.8,35.04,52.56,7.448505421252237,138.84850542125224,90.09685054212522,0.9906428754370165
15.0,4.0,6.0,5.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,35.04,52.56,43.8,7.3285054212522365,138.72850542125224,90.08485054212522,0.9897867110534548
14.0,6.0,3.0,5.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,52.56,26.28,43.8,16.016505421252237,138.65650542125223,90.07765054212521,0.9892730124233179
15.0,3.0,8.0,4.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,26.28,70.08,35.04,7.208505421252236,138.60850542125223,90.07285054212522,0.9889305466698932
14.0,5.0,5.0,4.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,43.8,43.8,35.04,15.896505421252236,138.53650542125223,90.06565054212521,0.9884168480397563
15.0,2.0,10.0,3.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,17.52,87.6,26.28,7.088505421252236,138.48850542125223,90.06085054212522,0.9880743822863316
14.0,4.0,7.0,3.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,35.04,61.32,26.28,15.776505421252237,138.41650542125223,90.05365054212521,0.9875606836561945
15.0,1.0,12.0,2.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,8.76,105.12,17.52,6.968505421252237,138.36850542125222,90.04885054212522,0.9872182179027699
14.0,3.0,9.0,2.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,26.28,78.84,17.52,15.656505421252236,138.29650542125222,90.04165054212521,0.9867045192726329
13.0,8.0,0.0,5.0,99.93150684931507,100.0,100.0,115.27513902134591,399.10130924864256,70.04784675496806,0.0,43.8,24.733037730195868,138.58088448516392,90.04115052798765,0.9887334794888978
15.0,0.0,14.0,1.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,0.0,122.64,8.76,6.848505421252237,138.24850542125222,90.03685054212522,0.9863620535192082
13.0,5.0,6.0,2.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,43.8,52.56,17.52,24.34450542125224,138.22450542125225,90.03445054212521,0.9861908206424961
14.0,2.0,11.0,1.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,17.52,96.36,8.76,15.536505421252237,138.17650542125224,90.02965054212521,0.9858483548890713
13.0,4.0,8.0,1.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,35.04,70.08,8.76,24.224505421252243,138.10450542125224,90.02245054212521,0.9853346562589345
14.0,1.0,13.0,0.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,8.76,113.88,0.0,15.416505421252237,138.05650542125224,90.01765054212522,0.9849921905055097
13.0,3.0,10.0,0.0,100.0,100.0,100.0,115.27210874504055,399.10130924864256,26.28,87.6,0.0,24.10450542125224,137.98450542125224,90.01045054212521,0.9844784918753728
