Total_Provisioned_MW,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
25.0,8.0,0.0,17.0,99.93150684931508,100.0,100.0,67.22394396631289,283.54041775447905,70.04784675496806,0.0,148.92,20.085238258479155,239.05308501344723,131.62437058081596,0.9096388318624324
24.0,8.0,0.0,16.0,99.93150684931508,100.0,100.0,67.22394396631289,283.54041775447905,70.04784675496806,0.0,140.16,28.677238258479157,238.8850850134472,128.97957058081596,0.9089995624560396
24.0,5.0,6.0,13.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,52.56,113.88,28.290131408404616,238.53013140840463,128.97301314084046,0.9076489018584653
24.0,4.0,8.0,12.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,35.04,70.08,105.12,28.17013140840461,238.41013140840465,128.96101314084046,0.9071922808538988
24.0,3.0,10.0,11.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,26.28,87.6,96.36,28.050131408404614,238.29013140840465,128.94901314084046,0.9067356598493328
25.0,7.0,0.0,18.0,100.0,100.0,100.0,67.22388694415203,283.5404177544791,61.32,0.0,157.68,20.22128536586347,239.22128536586348,126.41412853658636,0.9102788636448382
25.0,6.0,2.0,17.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,52.56,17.52,148.92,20.10613140840461,239.1061314084046,126.40261314084046,0.9098406826803828
25.0,5.0,4.0,16.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,43.8,35.04,140.16,19.986131408404614,238.98613140840465,126.39061314084046,0.9093840616758168
24.0,6.0,3.0,15.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,52.56,26.28,131.4,28.55413140840461,238.79413140840464,126.37141314084046,0.9086534680685108
24.0,5.0,5.0,14.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,43.8,43.8,122.64,28.43413140840461,238.67413140840463,126.35941314084046,0.9081968470639444
24.0,4.0,7.0,13.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,35.04,61.32,113.88,28.314131408404617,238.55413140840463,126.34741314084046,0.9077402260593784
24.0,3.0,9.0,12.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,78.84,105.12,28.194131408404616,238.43413140840465,126.33541314084046,0.9072836050548122
23.0,8.0,0.0,15.0,99.93150684931508,100.0,100.0,67.22394396631289,283.54041775447905,70.04784675496806,0.0,131.4,37.26923825847916,238.7170850134472,126.33477058081596,0.9083602930496468
23.0,5.0,6.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,43.8,52.56,105.12,36.88213140840462,238.36213140840465,126.32821314084046,0.9070096324520724
24.0,2.0,11.0,11.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,96.36,96.36,28.07413140840461,238.31413140840465,126.32341314084046,0.906826984050246
23.0,4.0,8.0,11.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,35.04,70.08,96.36,36.76213140840461,238.24213140840465,126.31621314084046,0.9065530114475062
24.0,1.0,13.0,10.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,113.88,87.6,27.954131408404614,238.19413140840464,126.31141314084046,0.9063703630456796
23.0,3.0,10.0,10.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,26.28,87.6,87.6,36.64213140840461,238.12213140840456,126.30421314084046,0.90609639044294
25.0,6.0,1.0,18.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,52.56,8.76,157.68,20.250131408404613,239.2501314084046,123.78901314084044,0.9103886278858624
25.0,5.0,3.0,17.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,26.28,148.92,20.130131408404612,239.13013140840465,123.77701314084044,0.9099320068812962
24.0,7.0,0.0,17.0,100.0,100.0,100.0,67.22388694415203,283.5404177544791,61.32,0.0,148.92,28.81328536586347,239.05328536586347,123.76932853658636,0.9096395942384456
25.0,4.0,5.0,16.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,35.04,43.8,140.16,20.01013140840461,239.01013140840465,123.76501314084044,0.90947538587673
24.0,6.0,2.0,16.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,52.56,17.52,140.16,28.698131408404613,238.93813140840464,123.75781314084044,0.9092014132739904
24.0,5.0,4.0,15.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,35.04,131.4,28.578131408404616,238.81813140840464,123.74581314084044,0.908744792269424
24.0,4.0,6.0,14.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,35.04,52.56,122.64,28.45813140840461,238.69813140840463,123.73381314084044,0.9082881712648578
23.0,6.0,3.0,14.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,52.56,26.28,122.64,37.14613140840461,238.62613140840463,123.72661314084046,0.908014198662118
24.0,3.0,8.0,13.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,26.28,70.08,113.88,28.33813140840461,238.57813140840463,123.72181314084044,0.9078315502602916
23.0,5.0,5.0,13.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,43.8,43.8,113.88,37.026131408404616,238.50613140840463,123.71461314084046,0.907557577657552
24.0,2.0,10.0,12.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,17.52,87.6,105.12,28.218131408404616,238.45813140840465,123.70981314084044,0.9073749292557254
