Week,Total_Firm_Load_MW,Annual_Baseload_MW,Weekly_Capacity_Block_MW
1,37.0,7.0,30.0
2,12.0,7.0,5.0
3,12.0,7.0,5.0
4,10.0,7.0,3.0
5,16.0,7.0,9.0
6,9.0,7.0,2.0
7,22.0,7.0,15.0
8,54.0,7.0,47.0
9,17.0,7.0,10.0
10,21.0,7.0,14.0
11,18.0,7.0,11.0
12,10.0,7.0,3.0
13,19.0,7.0,12.0
14,13.0,7.0,6.0
15,11.0,7.0,4.0
16,13.0,7.0,6.0
17,20.0,7.0,13.0
18,14.0,7.0,7.0
19,14.0,7.0,7.0
20,15.0,7.0,8.0
21,14.0,7.0,7.0
22,17.0,7.0,10.0
23,24.0,7.0,17.0
24,14.0,7.0,7.0
25,13.0,7.0,6.0
26,17.0,7.0,10.0
27,14.0,7.0,7.0
28,15.0,7.0,8.0
29,21.0,7.0,14.0
30,15.0,7.0,8.0
31,12.0,7.0,5.0
32,18.0,7.0,11.0
33,13.0,7.0,6.0
34,12.0,7.0,5.0
35,12.0,7.0,5.0
36,19.0,7.0,12.0
37,21.0,7.0,14.0
38,20.0,7.0,13.0
39,15.0,7.0,8.0
40,20.0,7.0,13.0
41,17.0,7.0,10.0
42,15.0,7.0,8.0
43,10.0,7.0,3.0
44,19.0,7.0,12.0
45,24.0,7.0,17.0
46,12.0,7.0,5.0
47,14.0,7.0,7.0
48,7.0,7.0,0.0
49,10.0,7.0,3.0
50,11.0,7.0,4.0
51,14.0,7.0,7.0
52,30.0,7.0,23.0
