Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
3.0,10.0,2.0,100.0,100.0,100.0,120.83789655974442,408.8230719243657,26.28,87.6,17.52,0.0,131.4,94.608,0.25
0.0,14.0,2.0,100.0,100.0,100.0,113.28552802476041,398.94432671535566,0.0,122.64,17.52,0.0,140.16,92.856,0.26666666666666666
3.0,10.0,1.0,100.0,100.0,100.0,129.46917488544045,418.8970719243658,26.28,87.6,8.76,0.0,122.64,91.104,0.23333333333333334
4.0,8.0,2.0,100.0,100.0,100.0,129.46917488544045,418.799710104421,35.04,70.08,17.52,0.0,122.64,91.104,0.23333333333333334
1.0,12.0,2.0,100.0,100.0,100.0,120.83789655974442,408.9755432450245,8.76,105.12,17.52,0.0,131.4,89.352,0.25
0.0,14.0,1.0,100.0,100.0,100.0,120.83789655974442,409.0183267153556,0.0,122.64,8.76,0.0,131.4,89.352,0.25
3.0,10.0,0.0,100.0,100.0,100.0,139.4283421843205,428.97107192436573,26.28,87.6,0.0,0.0,113.88,87.6,0.21666666666666667
4.0,8.0,1.0,100.0,100.0,100.0,139.4283421843205,428.8737101044209,35.04,70.08,8.76,0.0,113.88,87.6,0.21666666666666667
5.0,6.0,2.0,100.0,100.0,100.0,139.4283421843205,428.75772850447515,43.8,52.56,17.52,0.0,113.88,87.6,0.21666666666666667
2.0,10.0,2.0,100.0,100.0,100.0,129.46917488544045,418.9875282451176,17.52,87.6,17.52,0.0,122.64,85.848,0.23333333333333334
1.0,12.0,1.0,100.0,100.0,100.0,129.46917488544045,419.04954324502455,8.76,105.12,8.76,0.0,122.64,85.848,0.23333333333333334
0.0,14.0,0.0,100.0,100.0,100.0,129.46917488544045,419.0923267153557,0.0,122.64,0.0,0.0,122.64,85.848,0.23333333333333334
4.0,8.0,0.0,100.0,100.0,100.0,151.04737069968056,438.947710104421,35.04,70.08,0.0,0.0,105.12,84.096,0.2
5.0,6.0,1.0,100.0,100.0,100.0,151.04737069968056,438.8317285044751,43.8,52.56,8.76,0.0,105.12,84.096,0.2
3.0,8.0,2.0,100.0,100.0,100.0,139.4283421843205,428.9792076942627,26.28,70.08,17.52,0.0,113.88,82.344,0.21666666666666667
2.0,10.0,1.0,100.0,100.0,100.0,139.4283421843205,429.0615282451176,17.52,87.6,8.76,0.0,113.88,82.344,0.21666666666666667
1.0,12.0,0.0,100.0,100.0,100.0,139.4283421843205,429.1235432450245,8.76,105.12,0.0,0.0,113.88,82.344,0.21666666666666667
5.0,6.0,0.0,100.0,100.0,100.0,164.77894985419692,448.90572850447506,43.8,52.56,0.0,0.0,96.36,80.592,0.18333333333333332
0.0,12.0,2.0,100.0,100.0,100.0,129.46917488544045,419.06820249036474,0.0,105.12,17.52,0.0,122.64,80.59199999999998,0.23333333333333334
2.0,10.0,0.0,100.0,100.0,100.0,151.04737069968056,439.1355282451176,17.52,87.6,0.0,0.0,105.12,78.84,0.2
4.0,6.0,2.0,100.0,100.0,100.0,151.04737069968056,438.9533692344068,35.04,52.56,17.52,0.0,105.12,78.84,0.2
3.0,8.0,1.0,100.0,100.0,100.0,151.04737069968056,439.0532076942627,26.28,70.08,8.76,0.0,105.12,78.84,0.2
1.0,10.0,2.0,100.0,100.0,100.0,139.4283421843205,429.1316790149216,8.76,87.6,17.52,0.0,113.88,77.088,0.21666666666666667
0.0,12.0,1.0,100.0,100.0,100.0,139.4283421843205,429.14220249036475,0.0,105.12,8.76,0.0,113.88,77.088,0.21666666666666667
