Total_Provisioned_MW,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
21.0,0.0,0.0,21.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,0.0,183.96,55.770131408404616,239.73013140840465,79.16101314084047,0.9122151119041272
21.0,0.0,1.0,20.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,8.76,175.2,55.62613140840462,239.58613140840464,81.77461314084047,0.9116671666986478
21.0,0.0,2.0,19.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,17.52,166.44,55.48213140840461,239.44213140840463,84.38821314084045,0.9111192214931683
21.0,0.0,3.0,18.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,26.28,157.68,55.338131408404614,239.29813140840463,87.00181314084045,0.9105712762876889
21.0,0.0,4.0,17.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,35.04,148.92,55.194131408404616,239.15413140840462,89.61541314084046,0.9100233310822095
21.0,0.0,5.0,16.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,43.8,140.16,55.05013140840462,239.01013140840465,92.22901314084045,0.9094753858767299
21.0,0.0,6.0,15.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,52.56,131.4,54.90613140840461,238.86613140840464,94.84261314084046,0.9089274406712505
21.0,0.0,7.0,14.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,0.0,61.32,122.64,54.76213140840461,238.72213140840464,97.45621314084046,0.908379495465771
21.0,0.0,8.0,13.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,70.08,113.88,54.618131408404615,238.57813140840463,100.06981314084045,0.9078315502602916
21.0,0.0,9.0,12.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,0.0,78.84,105.12,54.47413140840462,238.43413140840462,102.68341314084046,0.9072836050548122
21.0,0.0,10.0,11.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,87.6,96.36,54.33013140840462,238.29013140840465,105.29701314084046,0.9067356598493327
21.0,0.0,11.0,10.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,96.36,87.6,54.18613140840461,238.14613140840464,107.91061314084045,0.9061877146438533
21.0,0.0,12.0,9.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,105.12,78.84,54.042131408404614,238.00213140840464,110.52421314084046,0.9056397694383738
21.0,0.0,13.0,8.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,113.88,70.08,53.898131408404616,237.85813140840463,113.13781314084045,0.9050918242328944
21.0,0.0,14.0,7.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,0.0,122.64,61.32,53.75413140840462,237.71413140840463,115.75141314084046,0.9045438790274148
21.0,0.0,15.0,6.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,0.0,131.4,52.56,53.61013140840461,237.57013140840462,118.36501314084046,0.9039959338219354
21.0,1.0,0.0,20.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,0.0,175.2,55.60213140840462,239.56213140840464,84.40021314084045,0.9115758424977345
21.0,1.0,1.0,19.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,8.76,8.76,166.44,55.45813140840461,239.41813140840463,87.01381314084045,0.9110278972922551
21.0,1.0,2.0,18.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,8.76,17.52,157.68,55.31413140840461,239.27413140840463,89.62741314084046,0.9104799520867756
21.0,1.0,3.0,17.0,100.0,100.0,100.0,67.22250774484519,283.5404177544791,8.76,26.28,148.92,55.170131408404615,239.13013140840462,92.24101314084045,0.9099320068812962
21.0,1.0,4.0,16.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,8.76,35.04,140.16,55.026131408404616,238.98613140840465,94.85461314084046,0.9093840616758168
21.0,1.0,5.0,15.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,8.76,43.8,131.4,54.88213140840462,238.84213140840464,97.46821314084046,0.9088361164703372
21.0,1.0,6.0,14.0,100.0,100.0,100.0,67.22250774484519,283.54041775447905,8.76,52.56,122.64,54.73813140840461,238.69813140840463,100.08181314084045,0.9082881712648578
