Total_Provisioned_MW,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Reliability_A,Reliability_B1,Reliability_B2,LCOE_delivered,Curtailment_Annual_GWh,Energy_A_Annual_GWh,Energy_B1_Annual_GWh,Energy_B2_Annual_GWh,Energy_C_Annual_GWh,Total_Delivered_Annual_GWh,Objective_Value,Realized_Utilization
36.0,8.0,0.0,28.0,99.92009132420091,100.0,100.0,37.40484966103498,66.1421726780753,70.04784675496806,0.0,245.28,113.86922705334078,429.19707380830886,179.54676946030216,0.6532679966640926
36.0,5.0,6.0,25.0,100.0,100.0,100.0,37.402789969998544,66.1421726780753,43.8,52.56,219.0,113.50044972705321,428.8604497270532,179.54204497270533,0.6527556312436121
36.0,6.0,3.0,27.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,26.28,236.52,113.75966159973756,429.1196615997376,176.93996615997375,0.6531501698626142
36.0,5.0,5.0,26.0,100.0,100.0,100.0,37.40258916951071,66.1421726780753,43.8,43.8,227.76,113.64672879682064,429.00672879682065,176.92867287968207,0.6529782782295596
36.0,4.0,7.0,25.0,100.0,100.0,100.0,37.40211375274276,66.1421726780753,35.04,61.32,219.0,113.53212483735759,428.8921248373575,176.91721248373577,0.6528038429792352
36.0,3.0,9.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,78.84,210.24,113.41309025703679,428.77309025703676,176.90530902570367,0.6526226640137546
35.0,8.0,0.0,27.0,99.93150684931507,100.0,100.0,37.40484966103498,66.1421726780753,70.04784675496806,0.0,236.52,122.46122705334079,429.02907380830885,176.90196946030215,0.6530122889015355
35.0,5.0,6.0,24.0,100.0,100.0,100.0,37.402789969998544,66.1421726780753,43.8,52.56,210.24,122.0924497270532,428.6924497270532,176.89724497270532,0.6524999234810551
35.0,4.0,8.0,23.0,100.0,100.0,100.0,37.40234651628508,66.1421726780753,35.04,70.08,201.48,121.97748292452869,428.57748292452874,176.8857482924529,0.6523249359581867
35.0,3.0,10.0,22.0,100.0,100.0,100.0,37.402101778276126,66.1421726780753,26.28,87.6,192.72,121.86026075084189,428.4602607508419,176.87402607508417,0.652146515602499
37.0,6.0,1.0,30.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,8.76,262.8,105.45566159973755,429.57566159973754,174.35756615997374,0.6538442337895549
36.0,7.0,0.0,29.0,100.0,100.0,100.0,37.40410725414475,66.1421726780753,61.32,0.0,254.04,114.01349926224928,429.3734992622493,174.33734992622496,0.6535365285574571
36.0,6.0,2.0,28.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,17.52,245.28,113.90366159973756,429.26366159973753,174.32636615997373,0.6533693479448061
36.0,5.0,4.0,27.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,35.04,236.52,113.79279299655333,429.15279299655333,174.31527929965534,0.6532005981682699
36.0,4.0,6.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,52.56,227.76,113.67709025703677,429.03709025703677,174.30370902570368,0.6530244904977729
35.0,6.0,3.0,26.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,26.28,227.76,122.35166159973754,428.9516615997376,174.29516615997375,0.6528944621000572
36.0,3.0,8.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,70.08,219.0,113.55709025703678,428.91709025703676,174.29170902570368,0.6528418420959463
35.0,5.0,5.0,25.0,100.0,100.0,100.0,37.40258916951071,66.1421726780753,43.8,43.8,219.0,122.23872879682064,428.83872879682065,174.28387287968206,0.6527225704670025
36.0,2.0,10.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,87.6,210.24,113.43709025703679,428.79709025703676,174.27970902570368,0.6526591936941198
35.0,4.0,7.0,24.0,100.0,100.0,100.0,37.40211375274276,66.1421726780753,35.04,61.32,210.24,122.12412483735758,428.7241248373576,174.27241248373576,0.6525481352166782
35.0,3.0,9.0,23.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,78.84,201.48,122.00509025703678,428.60509025703675,174.26050902570367,0.6523669562511974
34.0,8.0,0.0,26.0,99.93150684931507,100.0,100.0,37.40484966103498,66.1421726780753,70.04784675496806,0.0,227.76,131.05322705334078,428.86107380830884,174.25716946030215,0.6527565811389785
34.0,5.0,6.0,23.0,100.0,100.0,100.0,37.402789969998544,66.1421726780753,43.8,52.56,201.48,130.68444972705322,428.5244497270532,174.25244497270532,0.652244215718498
35.0,2.0,11.0,22.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,96.36,192.72,121.88509025703678,428.48509025703675,174.24850902570367,0.652184307849371
34.0,4.0,8.0,22.0,100.0,100.0,100.0,37.40234651628508,66.1421726780753,35.04,70.08,192.72,130.56948292452867,428.40948292452873,174.24094829245288,0.6520692281956297
35.0,1.0,13.0,21.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,113.88,183.96,121.76509025703677,428.36509025703674,174.23650902570367,0.6520016594475445
34.0,3.0,10.0,21.0,100.0,100.0,100.0,37.402101778276126,66.1421726780753,26.28,87.6,183.96,130.4522607508419,428.29226075084193,174.2292260750842,0.6518908078399421
35.0,0.0,15.0,20.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,131.4,175.2,121.64509025703678,428.24509025703674,174.22450902570367,0.651819011045718
37.0,6.0,0.0,31.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,0.0,271.56,105.59966159973756,429.71966159973755,171.74396615997375,0.6540634118717467
37.0,5.0,2.0,30.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,17.52,262.8,105.48879299655333,429.60879299655335,171.73287929965534,0.6538946620952105
36.0,6.0,1.0,29.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,8.76,254.04,114.04766159973754,429.40766159973754,171.71276615997374,0.6535885260269978
36.0,5.0,3.0,28.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,26.28,245.28,113.93679299655331,429.29679299655334,171.70167929965532,0.6534197762504617
35.0,7.0,0.0,28.0,100.0,100.0,100.0,37.40410725414475,66.1421726780753,61.32,0.0,245.28,122.60549926224928,429.2054992622493,171.69254992622496,0.6532808207949
36.0,4.0,5.0,27.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,43.8,236.52,113.82109025703677,429.1810902570368,171.69010902570366,0.6532436685799646
35.0,6.0,2.0,27.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,17.52,236.52,122.49566159973753,429.0956615997376,171.68156615997373,0.6531136401822489
36.0,3.0,7.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,61.32,227.76,113.70109025703678,429.06109025703677,171.67810902570366,0.6530610201781382
35.0,5.0,4.0,26.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,35.04,227.76,122.38479299655333,428.9847929965533,171.67047929965534,0.6529448904057128
36.0,2.0,9.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,78.84,219.0,113.58109025703676,428.94109025703676,171.66610902570366,0.6528783717763117
35.0,4.0,6.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,52.56,219.0,122.26909025703678,428.86909025703676,171.65890902570368,0.6527687827352158
36.0,1.0,11.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,96.36,210.24,113.46109025703677,428.82109025703676,171.65410902570366,0.6526957233744852
34.0,6.0,3.0,25.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,26.28,219.0,130.94366159973757,428.78366159973757,171.65036615997374,0.6526387543375001
35.0,3.0,8.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,70.08,210.24,122.14909025703678,428.74909025703676,171.64690902570368,0.6525861343333893
34.0,5.0,5.0,24.0,100.0,100.0,100.0,37.402589169510705,66.1421726780753,43.8,43.8,210.24,130.83072879682064,428.67072879682064,171.63907287968206,0.6524668627044454
35.0,2.0,10.0,23.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,87.6,201.48,122.02909025703676,428.62909025703675,171.63490902570368,0.6524034859315628
34.0,4.0,7.0,23.0,100.0,100.0,100.0,37.40211375274276,66.1421726780753,35.04,61.32,201.48,130.7161248373576,428.5561248373576,171.62761248373576,0.6522924274541211
35.0,1.0,12.0,22.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,105.12,192.72,121.90909025703678,428.50909025703675,171.62290902570368,0.6522208375297364
34.0,3.0,9.0,22.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,78.84,192.72,130.59709025703677,428.43709025703674,171.61570902570367,0.6521112484886404
33.0,8.0,0.0,25.0,99.93150684931507,100.0,100.0,37.40484966103498,66.1421726780753,70.04784675496806,0.0,219.0,139.6452270533408,428.69307380830884,171.61236946030215,0.6525008733764214
35.0,0.0,14.0,21.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,122.64,183.96,121.78909025703678,428.38909025703674,171.61090902570368,0.6520381891279098
33.0,5.0,6.0,22.0,100.0,100.0,100.0,37.402789969998544,66.1421726780753,43.8,52.56,192.72,139.2764497270532,428.3564497270532,171.60764497270532,0.651988507955941
34.0,2.0,11.0,21.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,96.36,183.96,130.4770902570368,428.31709025703674,171.60370902570367,0.651928600086814
33.0,4.0,8.0,21.0,100.0,100.0,100.0,37.40234651628508,66.1421726780753,35.04,70.08,183.96,139.16148292452868,428.2414829245287,171.59614829245288,0.6518135204330726
34.0,1.0,13.0,20.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,113.88,175.2,130.3570902570368,428.19709025703673,171.59170902570366,0.6517459516849875
33.0,3.0,10.0,20.0,100.0,100.0,100.0,37.402101778276126,66.1421726780753,26.28,87.6,175.2,139.0442607508419,428.12426075084187,171.5844260750842,0.6516351000773849
34.0,0.0,15.0,19.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,131.4,166.44,130.23709025703678,428.0770902570368,171.57970902570366,0.6515633032831609
37.0,5.0,1.0,31.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,8.76,271.56,105.63279299655333,429.75279299655335,169.11927929965535,0.6541138401774024
37.0,4.0,3.0,30.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,26.28,262.8,105.51709025703678,429.63709025703673,169.10770902570366,0.6539377325069052
36.0,6.0,0.0,30.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,0.0,262.8,114.19166159973754,429.55166159973754,169.09916615997375,0.6538077041091895
36.0,5.0,2.0,29.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,17.52,254.04,114.08079299655331,429.44079299655334,169.08807929965533,0.6536389543326535
36.0,4.0,4.0,28.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,35.04,245.28,113.96509025703676,429.3250902570368,169.07650902570367,0.6534628466621564
35.0,6.0,1.0,28.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,8.76,245.28,122.63966159973754,429.23966159973753,169.06796615997374,0.6533328182644407
36.0,3.0,6.0,27.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,52.56,236.52,113.84509025703676,429.2050902570368,169.06450902570367,0.6532801982603299
35.0,5.0,3.0,27.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,26.28,236.52,122.52879299655334,429.12879299655333,169.05687929965532,0.6531640684879046
36.0,2.0,8.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,70.08,227.76,113.72509025703678,429.08509025703677,169.05250902570367,0.6530975498585034
34.0,7.0,0.0,27.0,100.0,100.0,100.0,37.40410725414475,66.1421726780753,61.32,0.0,236.52,131.1974992622493,429.0374992622493,169.04774992622495,0.653025113032343
35.0,4.0,5.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,43.8,227.76,122.41309025703679,429.01309025703677,169.04530902570366,0.6529879608174075
36.0,1.0,10.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,87.6,219.0,113.60509025703678,428.96509025703676,169.04050902570367,0.652914901456677
34.0,6.0,2.0,26.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,17.52,227.76,131.08766159973754,428.9276615997376,169.03676615997375,0.6528579324196918
35.0,3.0,7.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,61.32,219.0,122.29309025703678,428.89309025703676,169.03330902570366,0.652805312415581
36.0,0.0,12.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,105.12,210.24,113.48509025703677,428.84509025703676,169.02850902570367,0.6527322530548505
34.0,5.0,4.0,25.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,35.04,219.0,130.97679299655334,428.8167929965533,169.02567929965534,0.6526891826431558
35.0,2.0,9.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,78.84,210.24,122.17309025703676,428.77309025703676,169.02130902570366,0.6526226640137546
34.0,4.0,6.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,52.56,210.24,130.86109025703675,428.70109025703675,169.01410902570368,0.6525130749726586
35.0,1.0,11.0,23.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,96.36,201.48,122.05309025703676,428.65309025703675,169.00930902570366,0.6524400156119281
33.0,6.0,3.0,24.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,26.28,210.24,139.53566159973755,428.61566159973756,169.00556615997374,0.6523830465749431
34.0,3.0,8.0,23.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,70.08,201.48,130.74109025703677,428.58109025703675,169.00210902570367,0.6523304265708322
35.0,0.0,13.0,22.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,113.88,192.72,121.93309025703678,428.53309025703675,168.99730902570366,0.6522573672101016
33.0,5.0,5.0,23.0,100.0,100.0,100.0,37.40258916951071,66.1421726780753,43.8,43.8,201.48,139.42272879682065,428.50272879682063,168.99427287968206,0.6522111549418883
34.0,2.0,10.0,22.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,87.6,192.72,130.62109025703677,428.46109025703674,168.99010902570367,0.6521477781690057
33.0,4.0,7.0,22.0,100.0,100.0,100.0,37.40211375274276,66.1421726780753,35.04,61.32,192.72,139.30812483735758,428.38812483735757,168.98281248373576,0.652036719691564
34.0,1.0,12.0,21.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,105.12,183.96,130.5010902570368,428.34109025703674,168.97810902570367,0.6519651297671792
33.0,3.0,9.0,21.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,78.84,183.96,139.18909025703678,428.26909025703674,168.97090902570366,0.6518555407260833
34.0,0.0,14.0,20.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,122.64,175.2,130.3810902570368,428.22109025703674,168.96610902570367,0.6517824813653528
33.0,2.0,11.0,20.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,96.36,175.2,139.06909025703675,428.14909025703673,168.95890902570366,0.6516728923242568
33.0,1.0,13.0,19.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,113.88,166.44,138.94909025703677,428.0290902570368,168.94690902570366,0.6514902439224304
33.0,0.0,15.0,18.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,131.4,157.68,138.82909025703677,427.9090902570368,168.93490902570366,0.6513075955206039
37.0,5.0,0.0,32.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,0.0,280.32,105.77679299655333,429.89679299655336,166.50567929965533,0.6543330182595941
37.0,4.0,2.0,31.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,17.52,271.56,105.66109025703676,429.78109025703674,166.49410902570366,0.6541569105890971
37.0,3.0,4.0,30.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,35.04,262.8,105.54109025703679,429.66109025703673,166.48210902570366,0.6539742621872706
36.0,5.0,1.0,30.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,8.76,262.8,114.22479299655332,429.58479299655335,166.47447929965534,0.6538581324148453
36.0,4.0,3.0,29.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,26.28,254.04,114.10909025703675,429.4690902570368,166.46290902570368,0.6536820247443482
35.0,6.0,0.0,29.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,0.0,254.04,122.78366159973754,429.38366159973754,166.45436615997377,0.6535519963466325
36.0,3.0,5.0,28.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,43.8,245.28,113.98909025703678,429.3490902570368,166.45090902570368,0.6534993763425218
35.0,5.0,2.0,28.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,17.52,245.28,122.67279299655331,429.27279299655333,166.44327929965533,0.6533832465700964
36.0,2.0,7.0,27.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,61.32,236.52,113.86909025703677,429.2290902570368,166.43890902570368,0.6533167279406952
35.0,4.0,4.0,27.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,35.04,236.52,122.55709025703676,429.15709025703677,166.43170902570367,0.6532071388995994
36.0,1.0,9.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,78.84,227.76,113.74909025703678,429.10909025703677,166.42690902570368,0.6531340795388687
34.0,6.0,1.0,27.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,8.76,236.52,131.23166159973755,429.0716615997376,166.42316615997376,0.6530771105018837
35.0,3.0,6.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,52.56,227.76,122.43709025703676,429.03709025703677,166.41970902570367,0.6530244904977729
36.0,0.0,11.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,96.36,219.0,113.62909025703678,428.98909025703676,166.41490902570368,0.6529514311370422
34.0,5.0,3.0,26.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,26.28,227.76,131.12079299655332,428.9607929965533,166.41207929965535,0.6529083607253475
35.0,2.0,8.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,70.08,219.0,122.31709025703678,428.91709025703676,166.40770902570367,0.6528418420959463
33.0,7.0,0.0,26.0,100.0,100.0,100.0,37.40410725414475,66.1421726780753,61.32,0.0,227.76,139.7894992622493,428.86949926224935,166.40294992622492,0.6527694052697859
34.0,4.0,5.0,25.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,43.8,219.0,131.00509025703678,428.84509025703676,166.40050902570366,0.6527322530548505
35.0,1.0,10.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,87.6,210.24,122.19709025703676,428.79709025703676,166.39570902570367,0.6526591936941198
33.0,6.0,2.0,25.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,17.52,219.0,139.67966159973756,428.75966159973757,166.39196615997375,0.6526022246571348
34.0,3.0,7.0,24.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,61.32,210.24,130.88509025703678,428.72509025703675,166.38850902570366,0.652549604653024
35.0,0.0,12.0,23.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,105.12,201.48,122.07709025703677,428.67709025703675,166.38370902570367,0.6524765452922934
33.0,5.0,4.0,24.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,35.04,210.24,139.56879299655333,428.6487929965533,166.38087929965533,0.6524334748805987
34.0,2.0,9.0,23.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,78.84,201.48,130.76509025703677,428.60509025703675,166.37650902570365,0.6523669562511974
33.0,4.0,6.0,23.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,52.56,201.48,139.4530902570368,428.53309025703675,166.36930902570367,0.6522573672101016
34.0,1.0,11.0,22.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,96.36,192.72,130.64509025703677,428.48509025703675,166.36450902570368,0.652184307849371
33.0,3.0,8.0,22.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,70.08,192.72,139.3330902570368,428.41309025703674,166.35730902570367,0.6520747188082752
34.0,0.0,13.0,21.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,113.88,183.96,130.52509025703677,428.36509025703674,166.35250902570368,0.6520016594475445
33.0,2.0,10.0,21.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,87.6,183.96,139.21309025703675,428.29309025703674,166.34530902570367,0.6518920704064487
33.0,1.0,12.0,20.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,105.12,175.2,139.09309025703675,428.17309025703673,166.33330902570367,0.6517094220046221
33.0,0.0,14.0,19.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,122.64,166.44,138.97309025703677,428.0530902570368,166.32130902570367,0.6515267736027957
37.0,4.0,1.0,32.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,8.76,280.32,105.80509025703677,429.92509025703674,163.88050902570367,0.6543760886712888
37.0,3.0,3.0,31.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,26.28,271.56,105.68509025703678,429.80509025703674,163.86850902570367,0.6541934402694624
36.0,5.0,0.0,31.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,0.0,271.56,114.36879299655331,429.72879299655335,163.86087929965532,0.654077310497037
37.0,2.0,5.0,30.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,43.8,262.8,105.56509025703679,429.68509025703673,163.85650902570367,0.6540107918676359
36.0,4.0,2.0,30.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,17.52,262.8,114.25309025703676,429.6130902570368,163.84930902570366,0.65390120282654
36.0,3.0,4.0,29.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,35.04,254.04,114.13309025703678,429.4930902570368,163.83730902570366,0.6537185544247135
35.0,5.0,1.0,29.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,8.76,254.04,122.81679299655332,429.41679299655334,163.82967929965534,0.6536024246522881
36.0,2.0,6.0,28.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,52.56,245.28,114.01309025703678,429.3730902570368,163.82530902570366,0.653535906022887
35.0,4.0,3.0,28.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,35.04,26.28,245.28,122.70109025703675,429.3010902570368,163.81810902570368,0.6534263169817911
36.0,1.0,8.0,27.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,8.76,70.08,236.52,113.89309025703677,429.2530902570368,163.81330902570366,0.6533532576210606
34.0,6.0,0.0,28.0,100.0,100.0,100.0,37.403211841378145,66.1421726780753,52.56,0.0,245.28,131.37566159973755,429.21566159973753,163.80956615997377,0.6532962885840754
35.0,3.0,5.0,27.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,26.28,43.8,236.52,122.58109025703676,429.1810902570368,163.80610902570368,0.6532436685799646
36.0,0.0,10.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,0.0,87.6,227.76,113.77309025703678,429.13309025703677,163.80130902570366,0.6531706092192341
34.0,5.0,2.0,27.0,100.0,100.0,100.0,37.40240730229517,66.1421726780753,43.8,17.52,236.52,131.26479299655333,429.10479299655333,163.79847929965533,0.6531275388075393
35.0,2.0,7.0,26.0,100.0,100.0,100.0,37.402028695964056,66.1421726780753,17.52,61.32,227.76,122.46109025703677,429.06109025703677,163.79410902570368,0.6530610201781382
