Hour_of_Year,Tier_A_MW,Tier_B1_MW,Tier_B2_MW,Tier_C_MW,Total_Hardware_Used_MW,Curtailment_MW
1,8.0,0.0,23.0,19.0,50.0,0.0
2,8.0,0.0,23.0,19.0,50.0,0.0
3,8.0,0.0,23.0,13.613495366459802,44.6134953664598,0.0
4,8.0,0.0,23.0,19.0,50.0,0.0
5,8.0,0.0,23.0,19.0,50.0,0.0
6,8.0,0.0,23.0,19.0,50.0,0.0
7,8.0,0.0,23.0,19.0,50.0,0.0
8,8.0,0.0,23.0,19.0,50.0,0.0
9,8.0,0.0,23.0,19.0,50.0,0.0
10,8.0,0.0,23.0,19.0,50.0,0.0
11,8.0,0.0,23.0,19.0,50.0,0.0
12,8.0,0.0,23.0,19.0,50.0,0.0
13,8.0,0.0,23.0,19.0,50.0,0.0
14,8.0,0.0,23.0,19.0,50.0,0.0
15,8.0,0.0,23.0,19.0,50.0,0.0
16,8.0,0.0,23.0,19.0,50.0,0.0
17,8.0,0.0,23.0,19.0,50.0,0.0
18,8.0,0.0,23.0,19.0,50.0,0.0
19,8.0,0.0,23.0,19.0,50.0,0.0
20,8.0,0.0,23.0,19.0,50.0,0.0
21,8.0,0.0,23.0,19.0,50.0,0.0
22,8.0,0.0,23.0,15.878463749539613,46.87846374953961,0.0
23,8.0,0.0,23.0,19.0,50.0,0.0
24,8.0,0.0,23.0,19.0,50.0,0.0
25,8.0,0.0,23.0,19.0,50.0,0.0
26,8.0,0.0,23.0,19.0,50.0,0.0
27,8.0,0.0,23.0,19.0,50.0,0.0
28,8.0,0.0,23.0,14.487577718948287,45.48757771894829,0.0
29,8.0,0.0,23.0,19.0,50.0,0.0
30,8.0,0.0,23.0,19.0,50.0,0.0
31,8.0,0.0,23.0,19.0,50.0,0.0
32,8.0,0.0,23.0,19.0,50.0,0.0
33,8.0,0.0,23.0,18.11247153286004,49.11247153286004,0.0
34,8.0,0.0,23.0,19.0,50.0,0.0
35,8.0,0.0,23.0,15.030556819808965,46.030556819808965,0.0
36,8.0,0.0,23.0,19.0,50.0,0.0
37,8.0,0.0,23.0,19.0,50.0,0.0
38,8.0,0.0,23.0,19.0,50.0,0.0
39,8.0,0.0,23.0,19.0,50.0,0.0
40,8.0,0.0,23.0,14.549804903099783,45.54980490309978,0.0
