Time (UTC),BE,DE_ME,DE4-N,DE4-S,DE_NW,DK_W,DK_E,EE,FIN,FR_R,LT,LV,NL_R,NO1,NO2,NO3,NO4,NO5,PL,SE1,SE2,SE3,SE4,UK
1/2/2012 0:00,33.821,27.578,32.141,33.559,32.744,32.158,31.558,31.247,30.639,32.685,31.163,31.563,34.28,33.064,32.513,31.629,29.798,32.608,26.673,29.813,30.707,31.695,31.753,33.056
1/2/2012 1:00,33.821,27.578,32.141,33.559,32.744,32.158,31.558,31.247,30.639,32.685,31.163,31.563,34.28,33.064,32.513,31.629,29.798,32.608,26.673,29.813,30.707,31.695,31.753,33.056
1/2/2012 2:00,33.821,27.578,32.141,33.559,32.744,32.158,31.558,31.247,30.639,32.685,31.163,31.563,34.28,33.064,32.513,31.629,29.798,32.608,26.673,29.813,30.707,31.695,31.753,33.056
1/2/2012 3:00,33.821,27.578,32.141,33.559,32.744,32.158,31.558,31.247,30.639,32.685,31.163,31.563,34.28,33.064,32.513,31.629,29.798,32.608,26.673,29.813,30.707,31.695,31.753,33.056
1/2/2012 4:00,33.821,27.578,32.141,33.559,32.744,32.158,31.558,32.025,32.661,32.685,31.163,31.563,34.28,33.064,32.513,31.629,29.798,32.608,26.673,29.813,30.707,31.695,31.753,33.056
1/2/2012 5:00,34.744,27.578,32.722,34.166,33.336,32.302,32.128,33.036,33.692,34.292,32.147,32.56,34.28,33.064,32.513,31.629,29.798,32.608,26.673,29.946,30.845,31.837,32.327,33.336
1/2/2012 6:00,35.866,32.763,34.229,35.74,34.871,33.697,33.516,33.876,34.241,35.576,32.964,33.387,35.387,34.2,33.631,32.952,30.792,33.729,14.169,31.24,32.177,33.212,33.724,34.419
1/2/2012 7:00,38.836,35.764,36.487,38.097,37.171,35.92,36.114,33.876,34.548,37.531,32.964,33.387,39.362,36.157,35.554,35.014,32.718,35.658,14.169,33.194,34.19,35.29,36.047,36.483
1/2/2012 8:00,47.277,43.571,44.451,47.786,46.625,43.76,43.507,40.124,40.921,45.689,39.045,39.546,47.918,43.371,43.282,42.001,39.247,42.773,14.169,39.818,41.013,42.331,43.24,44.414
1/2/2012 9:00,37.304,35.777,36.112,37.705,36.789,35.551,35.394,33.876,34.548,36.05,32.964,33.387,37.809,35.534,35.162,34.411,32.325,35.044,14.169,32.795,33.779,34.865,35.613,35.044
1/2/2012 10:00,36.813,36.061,36.092,37.21,36.769,35.382,35.363,35.77,36.481,35.576,34.492,34.935,37.312,35.068,34.995,33.959,31.9,34.584,14.169,32.364,33.335,34.407,35.145,34.584
1/2/2012 11:00,36.077,35.34,35.37,36.465,36.034,34.745,34.932,34.742,35.432,34.865,33.807,34.241,36.566,34.641,34.557,33.546,31.512,34.163,14.169,31.971,32.93,33.988,34.718,33.892
1/2/2012 12:00,35.187,34.468,34.498,35.566,35.145,33.888,34.071,34.374,35.056,34.005,33.448,33.878,35.664,34.006,33.894,32.931,30.934,33.537,26.673,31.385,32.326,33.366,34.081,33.056
