Sample,Latitude,Longitude,Region,Country,Shore
0,41.5,9.0,FR,France,Onshore
1,42.0,9.0,FR,France,Onshore
2,42.5,2.0,FR,France,Onshore
3,42.5,2.5,FR,France,Onshore
4,42.5,3.0,FR,France,Onshore
5,42.5,9.0,FR,France,Onshore
6,42.5,9.5,FR,France,Onshore
7,43.0,-1.0,FR,France,Onshore
8,43.0,-0.5,FR,France,Onshore
9,43.0,0.0,FR,France,Onshore
10,43.0,0.5,FR,France,Onshore
11,43.0,1.0,FR,France,Onshore
12,43.0,1.5,FR,France,Onshore
13,43.0,2.0,FR,France,Onshore
14,43.0,2.5,FR,France,Onshore
15,43.0,3.0,FR,France,Onshore
16,43.5,-1.5,FR,France,Onshore
17,43.5,-1.0,FR,France,Onshore
18,43.5,-0.5,FR,France,Onshore
19,43.5,0.0,FR,France,Onshore
20,43.5,0.5,FR,France,Onshore
21,43.5,1.0,FR,France,Onshore
22,43.5,1.5,FR,France,Onshore
23,43.5,2.0,FR,France,Onshore
24,43.5,2.5,FR,France,Onshore
25,43.5,3.0,FR,France,Onshore
26,43.5,3.5,FR,France,Onshore
27,43.5,4.5,FR,France,Onshore
28,43.5,5.0,FR,France,Onshore
29,43.5,5.5,FR,France,Onshore
30,43.5,6.0,FR,France,Onshore
31,43.5,6.5,FR,France,Onshore
32,44.0,-1.0,FR,France,Onshore
33,44.0,-0.5,FR,France,Onshore
34,44.0,0.0,FR,France,Onshore
35,44.0,0.5,FR,France,Onshore
36,44.0,1.0,FR,France,Onshore
37,44.0,1.5,FR,France,Onshore
38,44.0,2.0,FR,France,Onshore
39,44.0,2.5,FR,France,Onshore
40,44.0,3.0,FR,France,Onshore
41,44.0,3.5,FR,France,Onshore
42,44.0,4.0,FR,France,Onshore
43,44.0,4.5,FR,France,Onshore
44,44.0,5.0,FR,France,Onshore
45,44.0,5.5,FR,France,Onshore
46,44.0,6.0,FR,France,Onshore
47,44.0,6.5,FR,France,Onshore
48,44.0,7.0,FR,France,Onshore
49,44.0,7.5,FR,France,Onshore
50,44.5,-1.0,FR,France,Onshore
51,44.5,-0.5,FR,France,Onshore
52,44.5,0.0,FR,France,Onshore
53,44.5,0.5,FR,France,Onshore
54,44.5,1.0,FR,France,Onshore
55,44.5,1.5,FR,France,Onshore
56,44.5,2.0,FR,France,Onshore
57,44.5,2.5,FR,France,Onshore
58,44.5,3.0,FR,France,Onshore
59,44.5,3.5,FR,France,Onshore
60,44.5,4.0,FR,France,Onshore
61,44.5,4.5,FR,France,Onshore
62,44.5,5.0,FR,France,Onshore
63,44.5,5.5,FR,France,Onshore
64,44.5,6.0,FR,France,Onshore
65,44.5,6.5,FR,France,Onshore
66,45.0,-1.0,FR,France,Onshore
67,45.0,-0.5,FR,France,Onshore
68,45.0,0.0,FR,France,Onshore
69,45.0,0.5,FR,France,Onshore
70,45.0,1.0,FR,France,Onshore
71,45.0,1.5,FR,France,Onshore
72,45.0,2.0,FR,France,Onshore
73,45.0,2.5,FR,France,Onshore
74,45.0,3.0,FR,France,Onshore
75,45.0,3.5,FR,France,Onshore
76,45.0,4.0,FR,France,Onshore
77,45.0,4.5,FR,France,Onshore
78,45.0,5.0,FR,France,Onshore
79,45.0,5.5,FR,France,Onshore
80,45.0,6.0,FR,France,Onshore
81,45.0,6.5,FR,France,Onshore
82,45.5,-0.5,FR,France,Onshore
83,45.5,0.0,FR,France,Onshore
84,45.5,0.5,FR,France,Onshore
85,45.5,1.0,FR,France,Onshore
86,45.5,1.5,FR,France,Onshore
87,45.5,2.0,FR,France,Onshore
88,45.5,2.5,FR,France,Onshore
89,45.5,3.0,FR,France,Onshore
90,45.5,3.5,FR,France,Onshore
91,45.5,4.0,FR,France,Onshore
92,45.5,4.5,FR,France,Onshore
93,45.5,5.0,FR,France,Onshore
94,45.5,5.5,FR,France,Onshore
95,45.5,6.0,FR,France,Onshore
96,45.5,6.5,FR,France,Onshore
97,45.5,7.0,FR,France,Onshore
98,46.0,-1.0,FR,France,Onshore
99,46.0,-0.5,FR,France,Onshore
100,46.0,0.0,FR,France,Onshore
101,46.0,0.5,FR,France,Onshore
102,46.0,1.0,FR,France,Onshore
103,46.0,1.5,FR,France,Onshore
104,46.0,2.0,FR,France,Onshore
105,46.0,2.5,FR,France,Onshore
106,46.0,3.0,FR,France,Onshore
107,46.0,3.5,FR,France,Onshore
108,46.0,4.0,FR,France,Onshore
109,46.0,4.5,FR,France,Onshore
110,46.0,5.0,FR,France,Onshore
111,46.0,5.5,FR,France,Onshore
112,46.0,6.0,FR,France,Onshore
113,46.0,6.5,FR,France,Onshore
114,46.0,7.0,FR,France,Onshore
115,46.5,-1.5,FR,France,Onshore
116,46.5,-1.0,FR,France,Onshore
117,46.5,-0.5,FR,France,Onshore
118,46.5,0.0,FR,France,Onshore
119,46.5,0.5,FR,France,Onshore
120,46.5,1.0,FR,France,Onshore
121,46.5,1.5,FR,France,Onshore
122,46.5,2.0,FR,France,Onshore
123,46.5,2.5,FR,France,Onshore
124,46.5,3.0,FR,France,Onshore
125,46.5,3.5,FR,France,Onshore
126,46.5,4.0,FR,France,Onshore
127,46.5,4.5,FR,France,Onshore
128,46.5,5.0,FR,France,Onshore
129,46.5,5.5,FR,France,Onshore
130,46.5,6.0,FR,France,Onshore
131,47.0,-2.0,FR,France,Onshore
132,47.0,-1.5,FR,France,Onshore
133,47.0,-1.0,FR,France,Onshore
134,47.0,-0.5,FR,France,Onshore
135,47.0,0.0,FR,France,Onshore
136,47.0,0.5,FR,France,Onshore
137,47.0,1.0,FR,France,Onshore
138,47.0,1.5,FR,France,Onshore
139,47.0,2.0,FR,France,Onshore
140,47.0,2.5,FR,France,Onshore
141,47.0,3.0,FR,France,Onshore
142,47.0,3.5,FR,France,Onshore
143,47.0,4.0,FR,France,Onshore
144,47.0,4.5,FR,France,Onshore
145,47.0,5.0,FR,France,Onshore
146,47.0,5.5,FR,France,Onshore
147,47.0,6.0,FR,France,Onshore
148,47.0,6.5,FR,France,Onshore
149,47.5,-2.0,FR,France,Onshore
150,47.5,-1.5,FR,France,Onshore
151,47.5,-1.0,FR,France,Onshore
152,47.5,-0.5,FR,France,Onshore
153,47.5,0.0,FR,France,Onshore
154,47.5,0.5,FR,France,Onshore
155,47.5,1.0,FR,France,Onshore
156,47.5,1.5,FR,France,Onshore
157,47.5,2.0,FR,France,Onshore
158,47.5,2.5,FR,France,Onshore
159,47.5,3.0,FR,France,Onshore
160,47.5,3.5,FR,France,Onshore
161,47.5,4.0,FR,France,Onshore
162,47.5,4.5,FR,France,Onshore
163,47.5,5.0,FR,France,Onshore
164,47.5,5.5,FR,France,Onshore
165,47.5,6.0,FR,France,Onshore
166,47.5,6.5,FR,France,Onshore
167,47.5,7.0,FR,France,Onshore
168,47.5,7.5,FR,France,Onshore
169,48.0,-4.0,FR,France,Onshore
170,48.0,-3.5,FR,France,Onshore
171,48.0,-3.0,FR,France,Onshore
172,48.0,-2.5,FR,France,Onshore
173,48.0,-2.0,FR,France,Onshore
174,48.0,-1.5,FR,France,Onshore
175,48.0,-1.0,FR,France,Onshore
176,48.0,-0.5,FR,France,Onshore
177,48.0,0.0,FR,France,Onshore
178,48.0,0.5,FR,France,Onshore
179,48.0,1.0,FR,France,Onshore
