Sample,Latitude,Longitude,Region,Country,Shore
0,42.0,9.0,FR,France,Onshore
1,43.0,-1.0,FR,France,Onshore
2,43.0,0.0,FR,France,Onshore
3,43.0,1.0,FR,France,Onshore
4,43.0,2.0,FR,France,Onshore
5,43.0,3.0,FR,France,Onshore
6,44.0,-1.0,FR,France,Onshore
7,44.0,0.0,FR,France,Onshore
8,44.0,1.0,FR,France,Onshore
9,44.0,2.0,FR,France,Onshore
10,44.0,3.0,FR,France,Onshore
11,44.0,4.0,FR,France,Onshore
12,44.0,5.0,FR,France,Onshore
13,44.0,6.0,FR,France,Onshore
14,44.0,7.0,FR,France,Onshore
15,45.0,-1.0,FR,France,Onshore
16,45.0,0.0,FR,France,Onshore
17,45.0,1.0,FR,France,Onshore
18,45.0,2.0,FR,France,Onshore
19,45.0,3.0,FR,France,Onshore
20,45.0,4.0,FR,France,Onshore
21,45.0,5.0,FR,France,Onshore
22,45.0,6.0,FR,France,Onshore
23,46.0,-1.0,FR,France,Onshore
24,46.0,0.0,FR,France,Onshore
25,46.0,1.0,FR,France,Onshore
26,46.0,2.0,FR,France,Onshore
27,46.0,3.0,FR,France,Onshore
28,46.0,4.0,FR,France,Onshore
29,46.0,5.0,FR,France,Onshore
30,46.0,6.0,FR,France,Onshore
31,46.0,7.0,FR,France,Onshore
32,47.0,-2.0,FR,France,Onshore
33,47.0,-1.0,FR,France,Onshore
34,47.0,0.0,FR,France,Onshore
35,47.0,1.0,FR,France,Onshore
36,47.0,2.0,FR,France,Onshore
37,47.0,3.0,FR,France,Onshore
38,47.0,4.0,FR,France,Onshore
39,47.0,5.0,FR,France,Onshore
40,47.0,6.0,FR,France,Onshore
41,48.0,-4.0,FR,France,Onshore
42,48.0,-3.0,FR,France,Onshore
43,48.0,-2.0,FR,France,Onshore
44,48.0,-1.0,FR,France,Onshore
45,48.0,0.0,FR,France,Onshore
46,48.0,1.0,FR,France,Onshore
47,48.0,2.0,FR,France,Onshore
48,48.0,3.0,FR,France,Onshore
49,48.0,4.0,FR,France,Onshore
50,48.0,5.0,FR,France,Onshore
51,48.0,6.0,FR,France,Onshore
52,48.0,7.0,FR,France,Onshore
53,49.0,-1.0,FR,France,Onshore
54,49.0,0.0,FR,France,Onshore
55,49.0,1.0,FR,France,Onshore
56,49.0,2.0,FR,France,Onshore
57,49.0,3.0,FR,France,Onshore
58,49.0,4.0,FR,France,Onshore
59,49.0,5.0,FR,France,Onshore
60,49.0,6.0,FR,France,Onshore
61,49.0,7.0,FR,France,Onshore
62,49.0,8.0,FR,France,Onshore
63,50.0,2.0,FR,France,Onshore
64,50.0,3.0,FR,France,Onshore
65,50.0,4.0,FR,France,Onshore
66,44.0,-2.0,FR_OFF,France,Offshore
67,45.0,-3.0,FR_OFF,France,Offshore
68,45.0,-2.0,FR_OFF,France,Offshore
69,46.0,-8.0,FR_OFF,France,Offshore
70,46.0,-7.0,FR_OFF,France,Offshore
71,46.0,-6.0,FR_OFF,France,Offshore
72,46.0,-5.0,FR_OFF,France,Offshore
73,46.0,-4.0,FR_OFF,France,Offshore
74,46.0,-3.0,FR_OFF,France,Offshore
75,46.0,-2.0,FR_OFF,France,Offshore
76,47.0,-9.0,FR_OFF,France,Offshore
77,47.0,-8.0,FR_OFF,France,Offshore
78,47.0,-7.0,FR_OFF,France,Offshore
79,47.0,-6.0,FR_OFF,France,Offshore
80,47.0,-5.0,FR_OFF,France,Offshore
81,47.0,-4.0,FR_OFF,France,Offshore
82,47.0,-3.0,FR_OFF,France,Offshore
83,48.0,-9.0,FR_OFF,France,Offshore
